problem_id	solution_id	invariant_index	desc_index	first_correct_test	first_incorrect_test	coverage
p03157	s178008392			-1	2	-1
p02606	s742370030	0	0	0	-1	-1
p00453	s944854384			2	0	-1
p03294	s179825650	0	0	0	-1	-1
p03495	s764284087	1	0	1	4	-1
p03165	s082465323	1		0	-1	-1
p02923	s589586071			1	0	-1
p00292	s460303360	0	0	0	2	-1
p03434	s145526147	0	0	0	1	-1
p03837	s531304821	1		0	2	-1
p03835	s360187084	0	0	0	2	-1
p01891	s128243585	2	0	0	2	-1
p02573	s331426175	0	0	1	0	-1
p03696	s927612253	1	2	3	0	-1
p00219	s011842122	1		-1	0	-1
p02060	s295418950	1	1	3	0	-1
p03625	s967239246	0		0	1	-1
p00079	s179696629	2		1	0	-1
p00184	s578748709			-1	0	-1
p00183	s981533407	1	0	-1	0	-1
p02759	s137982541	0	1	0	-1	-1
p02608	s720744444	0	0	9	0	-1
p02275	s774690564	1		0	-1	-1
p02708	s102202257		2	2	0	-1
p00044	s339331993			0	-1	-1
p04011	s915562882		1	0	1	-1
p00935	s980549298	0	0	1	0	-1
p00101	s126238982	0	0	0	-1	-1
p03171	s312205517	0	1	1	0	-1
p00126	s784528699			-1	0	-1
p03186	s977467547	0	0	0	1	-1
p01102	s967669913	1		-1	0	-1
p00507	s368776219			-1	0	-1
p00532	s139707672			-1	0	-1
p03403	s945213112	2		8	0	-1
p00227	s076863249	0	0	3	0	-1
p02248	s886592565	2		2	0	-1
p02960	s714546052	0	0	7	0	-1
p02934	s137396000			-1	0	-1
p02675	s618257761	0		0	-1	-1
p02415	s391168636	0	0	0	-1	-1
p00553	s981335837	0		1	0	-1
p00423	s063620021			-1	0	-1
p03433	s130058854	0	0	0	-1	-1
p00537	s545972340			-1	0	-1
p00053	s230770223	0		1	0	-1
p00198	s037350979			3	5	-1
p00492	s741146325			-1	0	-1
p03455	s340436007	0	0	0	-1	-1
p00712	s849225147			2	0	-1
p02936	s322513709	1	1	0	1	-1
p03447	s070238718	0	1	0	-1	-1
p00534	s094469517	0	0	3	0	-1
p03438	s958372389	0		0	2	-1
p03636	s254430198	0	1	0	-1	-1
p02916	s663571609			0	1	-1
p02819	s386676895	0	2	0	-1	-1
p02267	s174838863	0		5	0	-1
p03592	s743890028	0	1	0	5	-1
p03574	s357771439	1		-1	1	-1
p04045	s091640306	0	0	0	6	-1
p00412	s196948278	2		0	-1	-1
p01522	s387531651	2	0	-1	0	-1
p00692	s714343966			4	-1	-1
p01719	s152398727			-1	0	-1
p03605	s521200176	0	0	0	-1	-1
p02256	s677531396	0	1	0	-1	-1
p02685	s034059170			-1	0	-1
p02605	s689124470			3	0	-1
p00676	s843871120	0	2	-1	0	-1
p00914	s603051027	0	0	1	0	-1
p03972	s388398834			-1	0	-1
p00232	s289134351			-1	0	-1
p02661	s113036995	0	0	1	0	-1
p00143	s173553216			0	1	-1
p02842	s804616244	0		0	-1	-1
p03318	s884164360			0	2	-1
p03645	s768510942	1	0	0	4	-1
p01712	s566683426	1		1	0	-1
p02760	s602638874	1		6	0	-1
p03860	s571365884	0	0	2	0	-1
p02768	s870001871			1	0	-1
p00794	s153856086			-1	0	-1
p03170	s826231777	0	2	1	0	-1
p00015	s515609816	0		0	1	-1
p00494	s750375138	0	0	2	0	-1
p02719	s397432215	2	0	0	-1	-1
p03739	s127788803	0	2	0	1	-1
p02237	s822378102	0		2	3	-1
p00803	s404975334	0	0	4	0	-1
p03284	s694565911	0	2	0	-1	-1
p03502	s501295735	0		0	1	-1
p02652	s331390455			0	1	-1
p01049	s785699430			0	3	-1
p00226	s093705858	0	0	0	1	-1
p03356	s783216663	2		-1	0	-1
p03711	s404311419	0	2	0	-1	-1
p02847	s681832705	0		0	-1	-1
p04034	s196776758		0	0	1	-1
p02891	s523709381			5	0	-1
p02901	s628654804			6	1	-1
p00428	s169068993	0	0	0	5	-1
p00275	s793127187			-1	2	-1
p01898	s356250075			-1	0	-1
p03909	s436169141	1	0	1	0	-1
p03132	s891909530			1	0	-1
p00063	s685640764	0	0	1	0	-1
p02616	s917163841	0	0	1	0	-1
p00734	s681207442		0	-1	0	-1
p02617	s317112518			2	0	-1
p03855	s280228878	1		-1	1	-1
p03845	s843066907	0	0	5	0	-1
p00118	s713620023			-1	0	-1
p01316	s603771984			-1	-1	
p02314	s699505344	0	0	0	-1	-1
p03361	s999956349	0	0	1	0	-1
p00450	s853474193			4	0	-1
p00659	s192974737			6	7	-1
p00105	s226599049	0		0	2	-1
p03312	s477351202	0	0	-1	0	-1
p00262	s984817003		0	0	1	-1
p02623	s795037489		2	2	0	-1
p02757	s357012180	1		0	1	-1
p00196	s051411833			2	1	-1
p02696	s530825761	0	0	0	-1	-1
p03014	s402426599			2	1	-1
p03025	s897741416			-1	0	-1
p02851	s727357704			5	0	-1
p02460	s254019914		1	1	-1	-1
p02749	s773337588			-1	2	-1
p00218	s659794757			0	1	-1
p03319	s785473962			2	0	-1
p02823	s777090355		0	4	0	-1
p00088	s360180231			-1	0	-1
p02744	s535965967	1		-1	0	-1
p02657	s473499163	0	1	0	-1	-1
p03210	s129678472	0	1	0	-1	-1
p03244	s424021323	0	0	0	-1	-1
p01880	s800811952	0	0	4	0	-1
p00735	s927886733			-1	0	-1
p03836	s176300874	0		-1	0	-1
p04020	s734994452	1		7	0	-1
p02767	s283987349	0	0	0	1	-1
p00151	s401302957			0	1	-1
p00332	s161306233	0		0	-1	-1
p00468	s639237580			8	3	-1
p02631	s138445739	0	0	2	0	-1
p03308	s235029328	2	0	0	3	-1
p00462	s865097947			-1	-1	
p01126	s903236969			3	1	-1
p00164	s117131434			-1	0	-1
p03660	s869933034	0		0	1	-1
p02190	s349748721	0	0	0	-1	-1
p03697	s029958332	0	0	0	-1	-1
p02865	s847627042			0	-1	-1
p00874	s216781181		1	2	0	-1
p02317	s412343517	0		2	0	-1
p02162	s063866710	1		0	2	-1
p03074	s081702353			-1	0	-1
p02831	s730755261	1	0	0	4	-1
p03106	s198925836	0	0	0	-1	-1
p03608	s150352277	0	0	-1	2	-1
p00594	s941316056	0		0	3	-1
p00077	s997038627	2	0	0	7	-1
p00080	s138135622	1	1	1	0	-1
p00445	s297168206	1		2	0	-1
p03296	s927436368	1	0	0	1	-1
p00252	s889981468	0		0	-1	-1
p00723	s367777034	2		3	0	-1
p02783	s229703158	0	0	0	-1	-1
p02953	s198123028	1	0	4	0	-1
p03034	s364473284			3	0	-1
p03369	s040756246	0	2	0	-1	-1
p02734	s994524983	1		-1	0	-1
p00855	s612213281	0		7	0	-1
p03029	s832986270	0	0	0	4	-1
p01656	s162717626	0	1	0	3	-1
p02945	s403998356	0	0	0	-1	-1
p03053	s471442844	1		0	2	-1
p03544	s431149579			0	1	-1
p02584	s347406668	2	0	0	1	-1
p03007	s001636669			-1	2	-1
p00554	s432204143	1	2	1	0	-1
p03435	s569719883	0	0	2	0	-1
p00518	s959829902			-1	1	-1
p02585	s618281839	0		0	1	-1
p00167	s226175596	0	1	2	1	-1
p03209	s529623032	1	0	3	0	-1
p03142	s462843559	2		0	7	-1
p03929	s644811775			1	0	-1
p00004	s908389621	0		0	1	-1
p02951	s450881258	1	0	0	-1	-1
p03817	s134552115	0	2	0	-1	-1
p00740	s709343622	0	1	0	1	-1
p00203	s085884166			-1	0	-1
p00137	s064304983	1		-1	0	-1
p03145	s951293826	0		0	-1	-1
p00013	s372427683	0	0	0	3	-1
p02885	s973284658			0	-1	-1
p00820	s922843611	0		9	0	-1
p02743	s444837341	0	2	0	2	-1
p02812	s337162071	0	0	0	5	-1
p00261	s621571376	1	0	0	1	-1
p01601	s251187433	0	0	0	1	-1
p02731	s009874023	2	1	0	1	-1
p02647	s238667178	2	0	5	0	-1
p03815	s622503034	0	0	0	1	-1
p00108	s978473581		0	-1	0	-1
p00856	s418714524			-1	2	-1
p02305	s760349760			0	1	-1
p03797	s303048640			0	1	-1
p03626	s077306598	2		5	0	-1
p03080	s782444968	0	0	0	3	-1
p02639	s078230188	0	0	0	-1	-1
p00074	s370758758			1	0	-1
p03463	s823394500	1	1	0	2	-1
p00378	s190984918		2	0	1	-1
p03268	s028328969			-1	0	-1
p01767	s154270529			-1	0	-1
p02846	s055136115	0	1	3	0	-1
p02727	s901231920	1	0	1	0	-1
p02988	s726578715	1	0	3	0	-1
p03213	s818408790			-1	0	-1
p03164	s460143454	1	0	0	1	-1
p03055	s264024431			4	0	-1
p00629	s997855446			6	0	-1
p02956	s557078975			-1	0	-1
p02266	s359579522			-1	0	-1
p03277	s397038418	1		0	1	-1
p02959	s135782015			-1	0	-1
p03003	s399653465	1		0	1	-1
p00495	s465242917	1		1	0	-1
p03216	s031958844			-1	0	-1
p02242	s139048679	2		2	1	-1
p02733	s192685925	0	0	2	0	-1
p03454	s487692533			-1	0	-1
p03051	s602251826			-1	3	-1
p02249	s516350566	0		5	1	-1
p02703	s853276286			-1	2	-1
p02297	s304077578	0	1	3	0	-1
p03632	s926738549	1	0	0	-1	-1
p02761	s051042698	0	1	1	0	-1
p03194	s490309902			3	0	-1
p02277	s671847140	0		-1	0	-1
p03838	s638319820			4	0	-1
p01050	s237021476			0	2	-1
p03108	s762534470			-1	0	-1
p02542	s434318320			-1	0	-1
p02837	s492486294		0	-1	1	-1
p01658	s507134732			3	0	-1
p03951	s454837493	0		1	0	-1
p01916	s743314309			0	3	-1
p03105	s251111045	0	0	0	-1	-1
p02412	s084903272	0	0	0	1	-1
p03311	s432916601	0	1	0	2	-1
p00479	s431207634			2	0	-1
p03206	s032834855	0	2	0	-1	-1
p02396	s367535137	0	0	0	-1	-1
p03064	s838968529			-1	0	-1
p00056	s092282154	0	2	3	0	-1
p04013	s213093213	0	2	4	0	-1
p02393	s128525760	0	0	0	-1	-1
p02762	s076216183	1	0	-1	0	-1
p03448	s218040018	0		4	0	-1
p02862	s667676769	0		0	1	-1
p02957	s401483028	0	0	0	-1	-1
p00023	s596131626	0		-1	0	-1
p00071	s357934042			1	0	-1
p02279	s986545389	2		0	-1	-1
p00010	s048960281	2		1	6	-1
p03317	s761125607			3	0	-1
p02840	s692206834			-1	0	-1
p03719	s086270522	0	1	0	-1	-1
p00435	s598892700	0	1	0	3	-1
p03647	s773575054	1		0	1	-1
p02276	s914114189	0		6	0	-1
p00136	s187551613	1		0	1	-1
p00208	s026323019			0	1	-1
p04005	s429974542	1		1	0	-1
p03408	s122045611	0	0	3	0	-1
p00271	s066078379	0	0	0	5	-1
p03478	s659326104	0	0	1	0	-1
p01138	s608330771		0	0	1	-1
p03043	s503142532			6	0	-1
p03173	s488216344	0	0	0	1	-1
p02678	s103169309	0	0	3	0	-1
p00811	s351389303		0	-1	0	-1
p00024	s577899969	0		0	3	-1
p02618	s375237088			3	0	-1
p01521	s876346750	0		0	-1	-1
p02418	s524752349	0	0	0	2	-1
p03473	s715109629	0	0	0	-1	-1
p00124	s900097106			-1	0	-1
p00543	s807124324		0	-1	0	-1
p01125	s589241787			-1	0	-1
p03722	s786958333			-1	0	-1
p03568	s055253310			0	2	-1
p02038	s526279575			0	2	-1
p02644	s674506780			2	1	-1
p04030	s475866922	0	0	1	0	-1
